name,performance_id,nation,program,judge,total_score,total_deductions,final_score
KVITELASHVILI Morisi,00c3e17bd3,GEO,Men Single Skating - Free Skating,J1,62.83,-6,56.83
KVITELASHVILI Morisi,00c3e17bd3,GEO,Men Single Skating - Free Skating,J2,62.63,-6,56.63
KVITELASHVILI Morisi,00c3e17bd3,GEO,Men Single Skating - Free Skating,J3,64.83,-6,58.83
KVITELASHVILI Morisi,00c3e17bd3,GEO,Men Single Skating - Free Skating,J4,64.63,-6,58.629999999999995
KVITELASHVILI Morisi,00c3e17bd3,GEO,Men Single Skating - Free Skating,J5,63.13,-6,57.13
KVITELASHVILI Morisi,00c3e17bd3,GEO,Men Single Skating - Free Skating,J6,61.43,-6,55.43
KVITELASHVILI Morisi,00c3e17bd3,GEO,Men Single Skating - Free Skating,J7,63.129999999999995,-6,57.129999999999995
KVITELASHVILI Morisi,00c3e17bd3,GEO,Men Single Skating - Free Skating,J8,61.93,-6,55.93
KVITELASHVILI Morisi,00c3e17bd3,GEO,Men Single Skating - Free Skating,J9,65.53,-6,59.53
CHA Junhwan,011d526566,KOR,Men Single Skating - Free Skating,J1,89.19,-1,88.19
CHA Junhwan,011d526566,KOR,Men Single Skating - Free Skating,J2,87.39,-1,86.39
CHA Junhwan,011d526566,KOR,Men Single Skating - Free Skating,J3,83.29,-1,82.29
CHA Junhwan,011d526566,KOR,Men Single Skating - Free Skating,J4,85.29,-1,84.29
CHA Junhwan,011d526566,KOR,Men Single Skating - Free Skating,J5,84.09,-1,83.09
CHA Junhwan,011d526566,KOR,Men Single Skating - Free Skating,J6,81.89,-1,80.89
CHA Junhwan,011d526566,KOR,Men Single Skating - Free Skating,J7,84.39,-1,83.39
CHA Junhwan,011d526566,KOR,Men Single Skating - Free Skating,J8,83.59,-1,82.59
CHA Junhwan,011d526566,KOR,Men Single Skating - Free Skating,J9,86.19,-1,85.19
HUBBELL Madison / DONOHUE Zachary,01a3f2a443,USA,Ice Dance - Free Dance,J1,54.199999999999996,-1,53.199999999999996
HUBBELL Madison / DONOHUE Zachary,01a3f2a443,USA,Ice Dance - Free Dance,J2,55.6,-1,54.6
HUBBELL Madison / DONOHUE Zachary,01a3f2a443,USA,Ice Dance - Free Dance,J3,52.6,-1,51.6
HUBBELL Madison / DONOHUE Zachary,01a3f2a443,USA,Ice Dance - Free Dance,J4,57.099999999999994,-1,56.099999999999994
HUBBELL Madison / DONOHUE Zachary,01a3f2a443,USA,Ice Dance - Free Dance,J5,56.699999999999996,-1,55.699999999999996
HUBBELL Madison / DONOHUE Zachary,01a3f2a443,USA,Ice Dance - Free Dance,J6,55.5,-1,54.5
HUBBELL Madison / DONOHUE Zachary,01a3f2a443,USA,Ice Dance - Free Dance,J7,55.6,-1,54.6
HUBBELL Madison / DONOHUE Zachary,01a3f2a443,USA,Ice Dance - Free Dance,J8,53.3,-1,52.3
HUBBELL Madison / DONOHUE Zachary,01a3f2a443,USA,Ice Dance - Free Dance,J9,54.4,-1,53.4
RAJICOVA Nicole,01ef6a14a8,SVK,Ladies Single Skating - Short Program,J1,33.43,0,33.43
RAJICOVA Nicole,01ef6a14a8,SVK,Ladies Single Skating - Short Program,J2,32.230000000000004,0,32.230000000000004
RAJICOVA Nicole,01ef6a14a8,SVK,Ladies Single Skating - Short Program,J3,30.53,0,30.53
RAJICOVA Nicole,01ef6a14a8,SVK,Ladies Single Skating - Short Program,J4,33.93,0,33.93
RAJICOVA Nicole,01ef6a14a8,SVK,Ladies Single Skating - Short Program,J5,32.03,0,32.03
RAJICOVA Nicole,01ef6a14a8,SVK,Ladies Single Skating - Short Program,J6,32.03,0,32.03
RAJICOVA Nicole,01ef6a14a8,SVK,Ladies Single Skating - Short Program,J7,32.53,0,32.53
RAJICOVA Nicole,01ef6a14a8,SVK,Ladies Single Skating - Short Program,J8,33.43,0,33.43
RAJICOVA Nicole,01ef6a14a8,SVK,Ladies Single Skating - Short Program,J9,32.730000000000004,0,32.730000000000004
TARASOVA Evgenia / MOROZOV Vladimir,02c6b6bb2f,OAR,Pair Skating - Free Skating,J1,68,-1,67
TARASOVA Evgenia / MOROZOV Vladimir,02c6b6bb2f,OAR,Pair Skating - Free Skating,J2,68.9,-1,67.9
TARASOVA Evgenia / MOROZOV Vladimir,02c6b6bb2f,OAR,Pair Skating - Free Skating,J3,69.4,-1,68.4
TARASOVA Evgenia / MOROZOV Vladimir,02c6b6bb2f,OAR,Pair Skating - Free Skating,J4,70.7,-1,69.7
TARASOVA Evgenia / MOROZOV Vladimir,02c6b6bb2f,OAR,Pair Skating - Free Skating,J5,69.9,-1,68.9
TARASOVA Evgenia / MOROZOV Vladimir,02c6b6bb2f,OAR,Pair Skating - Free Skating,J6,72.3,-1,71.3
TARASOVA Evgenia / MOROZOV Vladimir,02c6b6bb2f,OAR,Pair Skating - Free Skating,J7,72.6,-1,71.6
TARASOVA Evgenia / MOROZOV Vladimir,02c6b6bb2f,OAR,Pair Skating - Free Skating,J8,73.4,-1,72.4
TARASOVA Evgenia / MOROZOV Vladimir,02c6b6bb2f,OAR,Pair Skating - Free Skating,J9,67.5,-1,66.5
MYSLIVECKOVA Lucie / CSOLLEY Lukas,0332369044,SVK,Ice Dance - Short Dance,J1,30.299999999999997,0,30.299999999999997
MYSLIVECKOVA Lucie / CSOLLEY Lukas,0332369044,SVK,Ice Dance - Short Dance,J2,33.099999999999994,0,33.099999999999994
MYSLIVECKOVA Lucie / CSOLLEY Lukas,0332369044,SVK,Ice Dance - Short Dance,J3,29.7,0,29.7
MYSLIVECKOVA Lucie / CSOLLEY Lukas,0332369044,SVK,Ice Dance - Short Dance,J4,30.299999999999997,0,30.299999999999997
MYSLIVECKOVA Lucie / CSOLLEY Lukas,0332369044,SVK,Ice Dance - Short Dance,J5,31.4,0,31.4
MYSLIVECKOVA Lucie / CSOLLEY Lukas,0332369044,SVK,Ice Dance - Short Dance,J6,33.6,0,33.6
MYSLIVECKOVA Lucie / CSOLLEY Lukas,0332369044,SVK,Ice Dance - Short Dance,J7,33.099999999999994,0,33.099999999999994
MYSLIVECKOVA Lucie / CSOLLEY Lukas,0332369044,SVK,Ice Dance - Short Dance,J8,29.7,0,29.7
MYSLIVECKOVA Lucie / CSOLLEY Lukas,0332369044,SVK,Ice Dance - Short Dance,J9,33.099999999999994,0,33.099999999999994
BYCHENKO Alexei,0343e98a78,ISR,Team Event - Men Single Skating Short Program,J1,49.13,0,49.13
BYCHENKO Alexei,0343e98a78,ISR,Team Event - Men Single Skating Short Program,J2,48.83,0,48.83
BYCHENKO Alexei,0343e98a78,ISR,Team Event - Men Single Skating Short Program,J3,46.43,0,46.43
BYCHENKO Alexei,0343e98a78,ISR,Team Event - Men Single Skating Short Program,J4,48.43,0,48.43
BYCHENKO Alexei,0343e98a78,ISR,Team Event - Men Single Skating Short Program,J5,47.93,0,47.93
BYCHENKO Alexei,0343e98a78,ISR,Team Event - Men Single Skating Short Program,J6,47.93,0,47.93
BYCHENKO Alexei,0343e98a78,ISR,Team Event - Men Single Skating Short Program,J7,47.43,0,47.43
BYCHENKO Alexei,0343e98a78,ISR,Team Event - Men Single Skating Short Program,J8,46.13,0,46.13
BYCHENKO Alexei,0343e98a78,ISR,Team Event - Men Single Skating Short Program,J9,43.43,0,43.43
SCHOTT Nicole,0496311fa6,GER,Team Event - Ladies Single Skating Short Program,J1,27.83,-1,26.83
SCHOTT Nicole,0496311fa6,GER,Team Event - Ladies Single Skating Short Program,J2,29.03,-1,28.03
SCHOTT Nicole,0496311fa6,GER,Team Event - Ladies Single Skating Short Program,J3,28.53,-1,27.53
SCHOTT Nicole,0496311fa6,GER,Team Event - Ladies Single Skating Short Program,J4,28.03,-1,27.03
